fecha,anio,mes,mes_nombre,grupo_residencia_principal,grupo_residencia_detalle,aeropuerto,valor,total_ytd_archivo,unidad,fuente_archivo
2026-01-31,2026,1,Enero,RESIDENTES,DOMINICANOS,LA ROMANA,372.44156124617876,670.2705980829899,pasajeros,lleg_total_2026.xls
2026-02-28,2026,2,Febrero,RESIDENTES,DOMINICANOS,LA ROMANA,122.86427082461569,670.2705980829899,pasajeros,lleg_total_2026.xls
2026-03-31,2026,3,Marzo,RESIDENTES,DOMINICANOS,LA ROMANA,174.96476601219544,670.2705980829899,pasajeros,lleg_total_2026.xls
2026-01-31,2026,1,Enero,RESIDENTES,DOMINICANOS,MARÍA MONTEZ,0.0,0.0,pasajeros,lleg_total_2026.xls
2026-02-28,2026,2,Febrero,RESIDENTES,DOMINICANOS,MARÍA MONTEZ,0.0,0.0,pasajeros,lleg_total_2026.xls
2026-03-31,2026,3,Marzo,RESIDENTES,DOMINICANOS,MARÍA MONTEZ,0.0,0.0,pasajeros,lleg_total_2026.xls
2026-01-31,2026,1,Enero,RESIDENTES,DOMINICANOS,CIBAO,20714.264688277,37859.622241076475,pasajeros,lleg_total_2026.xls
2026-02-28,2026,2,Febrero,RESIDENTES,DOMINICANOS,CIBAO,7168.376541470725,37859.622241076475,pasajeros,lleg_total_2026.xls
2026-03-31,2026,3,Marzo,RESIDENTES,DOMINICANOS,CIBAO,9976.981011328753,37859.622241076475,pasajeros,lleg_total_2026.xls
2026-01-31,2026,1,Enero,RESIDENTES,DOMINICANOS,LA ISABELA,726.4082218048106,2414.2272312106247,pasajeros,lleg_total_2026.xls
2026-02-28,2026,2,Febrero,RESIDENTES,DOMINICANOS,LA ISABELA,709.6206914207222,2414.2272312106247,pasajeros,lleg_total_2026.xls
2026-03-31,2026,3,Marzo,RESIDENTES,DOMINICANOS,LA ISABELA,978.1983179850919,2414.2272312106247,pasajeros,lleg_total_2026.xls
2026-01-31,2026,1,Enero,RESIDENTES,DOMINICANOS,"EL CATEY, SAMANA",24.033898305084747,38.05473163841808,pasajeros,lleg_total_2026.xls
2026-02-28,2026,2,Febrero,RESIDENTES,DOMINICANOS,"EL CATEY, SAMANA",7.0,38.05473163841808,pasajeros,lleg_total_2026.xls
2026-03-31,2026,3,Marzo,RESIDENTES,DOMINICANOS,"EL CATEY, SAMANA",7.020833333333334,38.05473163841808,pasajeros,lleg_total_2026.xls
2026-01-31,2026,1,Enero,RESIDENTES,EXTRANJEROS,TOTAL,17741.86632053209,39654.206321665624,pasajeros,lleg_total_2026.xls
2026-02-28,2026,2,Febrero,RESIDENTES,EXTRANJEROS,TOTAL,9856.491602951146,39654.206321665624,pasajeros,lleg_total_2026.xls
2026-03-31,2026,3,Marzo,RESIDENTES,EXTRANJEROS,TOTAL,12055.848398182383,39654.206321665624,pasajeros,lleg_total_2026.xls
2026-01-31,2026,1,Enero,RESIDENTES,EXTRANJEROS,LAS AMERICAS,12255.296351428686,26582.911523267532,pasajeros,lleg_total_2026.xls
2026-02-28,2026,2,Febrero,RESIDENTES,EXTRANJEROS,LAS AMERICAS,6629.183009822047,26582.911523267532,pasajeros,lleg_total_2026.xls
2026-03-31,2026,3,Marzo,RESIDENTES,EXTRANJEROS,LAS AMERICAS,7698.432162016798,26582.911523267532,pasajeros,lleg_total_2026.xls
2026-01-31,2026,1,Enero,RESIDENTES,EXTRANJEROS,PUERTO PLATA,556.7817998987753,1392.8109510259353,pasajeros,lleg_total_2026.xls
2026-02-28,2026,2,Febrero,RESIDENTES,EXTRANJEROS,PUERTO PLATA,377.5508233351769,1392.8109510259353,pasajeros,lleg_total_2026.xls
2026-03-31,2026,3,Marzo,RESIDENTES,EXTRANJEROS,PUERTO PLATA,458.4783277919831,1392.8109510259353,pasajeros,lleg_total_2026.xls
2026-01-31,2026,1,Enero,RESIDENTES,EXTRANJEROS,PUNTA CANA,2922.2600049024422,6556.2993107840375,pasajeros,lleg_total_2026.xls
2026-02-28,2026,2,Febrero,RESIDENTES,EXTRANJEROS,PUNTA CANA,1575.4886035994127,6556.2993107840375,pasajeros,lleg_total_2026.xls
2026-03-31,2026,3,Marzo,RESIDENTES,EXTRANJEROS,PUNTA CANA,2058.550702282182,6556.2993107840375,pasajeros,lleg_total_2026.xls
2026-01-31,2026,1,Enero,RESIDENTES,EXTRANJEROS,LA ROMANA,375.63546408935537,1398.3206773542768,pasajeros,lleg_total_2026.xls
2026-02-28,2026,2,Febrero,RESIDENTES,EXTRANJEROS,LA ROMANA,421.0841990033634,1398.3206773542768,pasajeros,lleg_total_2026.xls
2026-03-31,2026,3,Marzo,RESIDENTES,EXTRANJEROS,LA ROMANA,601.601014261558,1398.3206773542768,pasajeros,lleg_total_2026.xls
2026-01-31,2026,1,Enero,RESIDENTES,EXTRANJEROS,MARÍA MONTEZ,0.0,0.0,pasajeros,lleg_total_2026.xls
2026-02-28,2026,2,Febrero,RESIDENTES,EXTRANJEROS,MARÍA MONTEZ,0.0,0.0,pasajeros,lleg_total_2026.xls
2026-03-31,2026,3,Marzo,RESIDENTES,EXTRANJEROS,MARÍA MONTEZ,0.0,0.0,pasajeros,lleg_total_2026.xls
