anio,concepto,valor,unidad,fuente_archivo
2016,Servicios de Manufactura sobre insumos Físicos Pertenecientes a terceros,74.7,millones_usd,bpagos_6.xls
2017,Servicios de Manufactura sobre insumos Físicos Pertenecientes a terceros,58.0,millones_usd,bpagos_6.xls
2018,Servicios de Manufactura sobre insumos Físicos Pertenecientes a terceros,54.5,millones_usd,bpagos_6.xls
2019,Servicios de Manufactura sobre insumos Físicos Pertenecientes a terceros,55.400000000000006,millones_usd,bpagos_6.xls
2020,Servicios de Manufactura sobre insumos Físicos Pertenecientes a terceros,31.7,millones_usd,bpagos_6.xls
2021,Servicios de Manufactura sobre insumos Físicos Pertenecientes a terceros,43.0,millones_usd,bpagos_6.xls
2022,Servicios de Manufactura sobre insumos Físicos Pertenecientes a terceros,50.6,millones_usd,bpagos_6.xls
2023,Servicios de Manufactura sobre insumos Físicos Pertenecientes a terceros,57.0,millones_usd,bpagos_6.xls
2024,Servicios de Manufactura sobre insumos Físicos Pertenecientes a terceros,55.7,millones_usd,bpagos_6.xls
2025,Servicios de Manufactura sobre insumos Físicos Pertenecientes a terceros,69.0,millones_usd,bpagos_6.xls
2010,Otros,1237.9,millones_usd,bpagos_6.xls
2011,Otros,1296.000000000001,millones_usd,bpagos_6.xls
2012,Otros,1294.6,millones_usd,bpagos_6.xls
2013,Otros,1293.199999999999,millones_usd,bpagos_6.xls
2014,Otros,1355.3000000000015,millones_usd,bpagos_6.xls
2015,Otros,1346.8999999999996,millones_usd,bpagos_6.xls
2016,Otros,1514.9000000000008,millones_usd,bpagos_6.xls
2017,Otros,1614.7000000000007,millones_usd,bpagos_6.xls
2018,Otros,1811.4000000000005,millones_usd,bpagos_6.xls
2019,Otros,1789.599999999998,millones_usd,bpagos_6.xls
2020,Otros,1880.9999999999995,millones_usd,bpagos_6.xls
2021,Otros,2374.2,millones_usd,bpagos_6.xls
2022,Otros,2972.6999999999994,millones_usd,bpagos_6.xls
2023,Otros,3032.0999999999985,millones_usd,bpagos_6.xls
2024,Otros,3663.000000000001,millones_usd,bpagos_6.xls
2025,Otros,3044.399999999998,millones_usd,bpagos_6.xls
2010,Débito,2587.5,millones_usd,bpagos_6.xls
2011,Débito,2725.3,millones_usd,bpagos_6.xls
2012,Débito,2709.8,millones_usd,bpagos_6.xls
2013,Débito,2778.3,millones_usd,bpagos_6.xls
2014,Débito,2969.7999999999997,millones_usd,bpagos_6.xls
2015,Débito,3174.0,millones_usd,bpagos_6.xls
2016,Débito,3369.6,millones_usd,bpagos_6.xls
2017,Débito,3307.0,millones_usd,bpagos_6.xls
2018,Débito,3917.0999999999995,millones_usd,bpagos_6.xls
2019,Débito,4258.200000000001,millones_usd,bpagos_6.xls
2020,Débito,3196.8999999999996,millones_usd,bpagos_6.xls
2021,Débito,4407.799999999999,millones_usd,bpagos_6.xls
2022,Débito,5925.1,millones_usd,bpagos_6.xls
2023,Débito,5636.5,millones_usd,bpagos_6.xls
2024,Débito,6336.5,millones_usd,bpagos_6.xls
2025,Débito,5647.1,millones_usd,bpagos_6.xls
2010,Fletes,1035.5,millones_usd,bpagos_6.xls
2011,Fletes,1009.0,millones_usd,bpagos_6.xls
2012,Fletes,1064.8,millones_usd,bpagos_6.xls
2013,Fletes,1038.3,millones_usd,bpagos_6.xls
2014,Fletes,1079.2000000000003,millones_usd,bpagos_6.xls
2015,Fletes,1155.9,millones_usd,bpagos_6.xls
2016,Fletes,1190.7000000000003,millones_usd,bpagos_6.xls
2017,Fletes,1103.1000000000001,millones_usd,bpagos_6.xls
2018,Fletes,1132.1,millones_usd,bpagos_6.xls
2019,Fletes,1209.0,millones_usd,bpagos_6.xls
2020,Fletes,1140.5,millones_usd,bpagos_6.xls
2021,Fletes,1745.4999999999998,millones_usd,bpagos_6.xls
2022,Fletes,2326.9999999999995,millones_usd,bpagos_6.xls
2023,Fletes,1890.6,millones_usd,bpagos_6.xls
2024,Fletes,2077.2000000000003,millones_usd,bpagos_6.xls
2025,Fletes,2110.8999999999996,millones_usd,bpagos_6.xls
2010,Otros,1552.0,millones_usd,bpagos_6.xls
2011,Otros,1716.3000000000002,millones_usd,bpagos_6.xls
2012,Otros,1645.0000000000002,millones_usd,bpagos_6.xls
2013,Otros,1740.0000000000002,millones_usd,bpagos_6.xls
2014,Otros,1890.5999999999995,millones_usd,bpagos_6.xls
2015,Otros,2018.1,millones_usd,bpagos_6.xls
2016,Otros,2178.9,millones_usd,bpagos_6.xls
2017,Otros,2203.8999999999996,millones_usd,bpagos_6.xls
2018,Otros,2784.9999999999995,millones_usd,bpagos_6.xls
2019,Otros,3049.2000000000007,millones_usd,bpagos_6.xls
2020,Otros,2056.3999999999996,millones_usd,bpagos_6.xls
2021,Otros,2662.3,millones_usd,bpagos_6.xls
2022,Otros,3598.100000000001,millones_usd,bpagos_6.xls
2023,Otros,3745.9,millones_usd,bpagos_6.xls
2024,Otros,4259.299999999999,millones_usd,bpagos_6.xls
2025,Otros,3536.2000000000007,millones_usd,bpagos_6.xls
2010,1.2 Ingreso Primario,-1927.1999999999998,millones_usd,bpagos_6.xls
2011,1.2 Ingreso Primario,-2254.5,millones_usd,bpagos_6.xls
2012,1.2 Ingreso Primario,-2399.6,millones_usd,bpagos_6.xls
