anio,pais_origen,valor,unidad,fuente_archivo
1997,Italia,0.3,millones_usd,inversion_ext_pais.xls
1998,Italia,33.1,millones_usd,inversion_ext_pais.xls
1999,Italia,13.9,millones_usd,inversion_ext_pais.xls
2000,Italia,15.5,millones_usd,inversion_ext_pais.xls
2001,Italia,0.73500263,millones_usd,inversion_ext_pais.xls
2002,Italia,4.96265862,millones_usd,inversion_ext_pais.xls
2003,Italia,5.1,millones_usd,inversion_ext_pais.xls
2004,Italia,39.1,millones_usd,inversion_ext_pais.xls
2005,Italia,0.1,millones_usd,inversion_ext_pais.xls
2006,Italia,2.8,millones_usd,inversion_ext_pais.xls
2007,Italia,32.0,millones_usd,inversion_ext_pais.xls
2008,Italia,10.7,millones_usd,inversion_ext_pais.xls
2009,Italia,15.8,millones_usd,inversion_ext_pais.xls
2010,Italia,7.6,millones_usd,inversion_ext_pais.xls
2011,Italia,0.9999999999999999,millones_usd,inversion_ext_pais.xls
2012,Italia,1.4,millones_usd,inversion_ext_pais.xls
2013,Italia,-0.7612857474385221,millones_usd,inversion_ext_pais.xls
1993,Francia,0.0,millones_usd,inversion_ext_pais.xls
1994,Francia,0.0,millones_usd,inversion_ext_pais.xls
1999,Francia,34.4,millones_usd,inversion_ext_pais.xls
2000,Francia,97.5,millones_usd,inversion_ext_pais.xls
2001,Francia,60.6,millones_usd,inversion_ext_pais.xls
2002,Francia,109.6,millones_usd,inversion_ext_pais.xls
2003,Francia,33.0,millones_usd,inversion_ext_pais.xls
2004,Francia,85.3,millones_usd,inversion_ext_pais.xls
2005,Francia,80.9,millones_usd,inversion_ext_pais.xls
2006,Francia,35.8,millones_usd,inversion_ext_pais.xls
2007,Francia,110.2,millones_usd,inversion_ext_pais.xls
2008,Francia,87.8,millones_usd,inversion_ext_pais.xls
2009,Francia,69.6,millones_usd,inversion_ext_pais.xls
2010,Francia,26.3,millones_usd,inversion_ext_pais.xls
2011,Francia,23.4,millones_usd,inversion_ext_pais.xls
2012,Francia,-1.4,millones_usd,inversion_ext_pais.xls
2013,Francia,48.10492,millones_usd,inversion_ext_pais.xls
1993,México,0.0,millones_usd,inversion_ext_pais.xls
1994,México,0.0,millones_usd,inversion_ext_pais.xls
2001,México,37.8,millones_usd,inversion_ext_pais.xls
2002,México,6.2,millones_usd,inversion_ext_pais.xls
2003,México,18.8,millones_usd,inversion_ext_pais.xls
2004,México,52.7,millones_usd,inversion_ext_pais.xls
2005,México,-1.3,millones_usd,inversion_ext_pais.xls
2006,México,83.5,millones_usd,inversion_ext_pais.xls
2007,México,-123.8,millones_usd,inversion_ext_pais.xls
2008,México,1055.2,millones_usd,inversion_ext_pais.xls
2009,México,273.2,millones_usd,inversion_ext_pais.xls
2010,México,369.2,millones_usd,inversion_ext_pais.xls
2011,México,72.9,millones_usd,inversion_ext_pais.xls
2012,México,-361.7,millones_usd,inversion_ext_pais.xls
2013,México,5.5023189277876945,millones_usd,inversion_ext_pais.xls
1993,Dinamarca *,0.0,millones_usd,inversion_ext_pais.xls
1994,Dinamarca *,0.0,millones_usd,inversion_ext_pais.xls
2006,Dinamarca *,11.5,millones_usd,inversion_ext_pais.xls
2007,Dinamarca *,2.4,millones_usd,inversion_ext_pais.xls
2008,Dinamarca *,8.1,millones_usd,inversion_ext_pais.xls
2009,Dinamarca *,8.3,millones_usd,inversion_ext_pais.xls
2010,Dinamarca *,8.6,millones_usd,inversion_ext_pais.xls
2011,Dinamarca *,10.6,millones_usd,inversion_ext_pais.xls
2012,Dinamarca *,3.6,millones_usd,inversion_ext_pais.xls
2013,Dinamarca *,0.5156849299999997,millones_usd,inversion_ext_pais.xls
1993,Alemania *,0.0,millones_usd,inversion_ext_pais.xls
1994,Alemania *,0.0,millones_usd,inversion_ext_pais.xls
2000,Alemania *,29.3,millones_usd,inversion_ext_pais.xls
2001,Alemania *,3.4,millones_usd,inversion_ext_pais.xls
2002,Alemania *,36.3,millones_usd,inversion_ext_pais.xls
2003,Alemania *,2.3,millones_usd,inversion_ext_pais.xls
2004,Alemania *,4.1,millones_usd,inversion_ext_pais.xls
2005,Alemania *,5.1,millones_usd,inversion_ext_pais.xls
2006,Alemania *,10.1,millones_usd,inversion_ext_pais.xls
2007,Alemania *,4.0,millones_usd,inversion_ext_pais.xls
2008,Alemania *,6.6,millones_usd,inversion_ext_pais.xls
2009,Alemania *,3.5,millones_usd,inversion_ext_pais.xls
2010,Alemania *,4.7,millones_usd,inversion_ext_pais.xls
2011,Alemania *,1.799999999999999,millones_usd,inversion_ext_pais.xls
2012,Alemania *,2.6,millones_usd,inversion_ext_pais.xls
2013,Alemania *,1.3201010149456176,millones_usd,inversion_ext_pais.xls
1993,Panamá *,0.0,millones_usd,inversion_ext_pais.xls
1994,Panamá *,0.0,millones_usd,inversion_ext_pais.xls
2000,Panamá *,16.8,millones_usd,inversion_ext_pais.xls
2001,Panamá *,7.1,millones_usd,inversion_ext_pais.xls
2002,Panamá *,8.7,millones_usd,inversion_ext_pais.xls
2003,Panamá *,31.4,millones_usd,inversion_ext_pais.xls
2004,Panamá *,17.5,millones_usd,inversion_ext_pais.xls
2005,Panamá *,15.5,millones_usd,inversion_ext_pais.xls
2006,Panamá *,9.9,millones_usd,inversion_ext_pais.xls
2007,Panamá *,39.9,millones_usd,inversion_ext_pais.xls
2008,Panamá *,33.5,millones_usd,inversion_ext_pais.xls
2009,Panamá *,162.4,millones_usd,inversion_ext_pais.xls
2010,Panamá *,38.0,millones_usd,inversion_ext_pais.xls
2011,Panamá *,65.0,millones_usd,inversion_ext_pais.xls
2012,Panamá *,16.9,millones_usd,inversion_ext_pais.xls
2013,Panamá *,0.8328960237264941,millones_usd,inversion_ext_pais.xls
1993,Islas Vírgenes BR*,0.0,millones_usd,inversion_ext_pais.xls
1994,Islas Vírgenes BR*,0.0,millones_usd,inversion_ext_pais.xls
2000,Islas Vírgenes BR*,7.2,millones_usd,inversion_ext_pais.xls
2001,Islas Vírgenes BR*,20.2,millones_usd,inversion_ext_pais.xls
2002,Islas Vírgenes BR*,23.5,millones_usd,inversion_ext_pais.xls
2003,Islas Vírgenes BR*,19.5,millones_usd,inversion_ext_pais.xls
2004,Islas Vírgenes BR*,48.7,millones_usd,inversion_ext_pais.xls
2005,Islas Vírgenes BR*,-4.4,millones_usd,inversion_ext_pais.xls
2006,Islas Vírgenes BR*,42.7,millones_usd,inversion_ext_pais.xls
2007,Islas Vírgenes BR*,21.4,millones_usd,inversion_ext_pais.xls
2008,Islas Vírgenes BR*,59.3,millones_usd,inversion_ext_pais.xls
2009,Islas Vírgenes BR*,23.1,millones_usd,inversion_ext_pais.xls
2010,Islas Vírgenes BR*,30.2,millones_usd,inversion_ext_pais.xls
2011,Islas Vírgenes BR*,50.1,millones_usd,inversion_ext_pais.xls
2012,Islas Vírgenes BR*,31.1,millones_usd,inversion_ext_pais.xls
2013,Islas Vírgenes BR*,47.234394790834,millones_usd,inversion_ext_pais.xls
1993,Venezuela *,0.0,millones_usd,inversion_ext_pais.xls
1994,Venezuela *,0.0,millones_usd,inversion_ext_pais.xls
2001,Venezuela *,7.5,millones_usd,inversion_ext_pais.xls
2002,Venezuela *,0.1,millones_usd,inversion_ext_pais.xls
2003,Venezuela *,-5.5,millones_usd,inversion_ext_pais.xls
2004,Venezuela *,4.4,millones_usd,inversion_ext_pais.xls
2005,Venezuela *,6.2,millones_usd,inversion_ext_pais.xls
2006,Venezuela *,16.5,millones_usd,inversion_ext_pais.xls
2007,Venezuela *,52.5,millones_usd,inversion_ext_pais.xls
2008,Venezuela *,10.9,millones_usd,inversion_ext_pais.xls
2009,Venezuela *,31.1,millones_usd,inversion_ext_pais.xls
2010,Venezuela *,140.4,millones_usd,inversion_ext_pais.xls
2011,Venezuela *,1.7,millones_usd,inversion_ext_pais.xls
2012,Venezuela *,55.5,millones_usd,inversion_ext_pais.xls
2013,Venezuela *,53.43997183003801,millones_usd,inversion_ext_pais.xls
1993,Colombia *,0.0,millones_usd,inversion_ext_pais.xls
1994,Colombia *,0.0,millones_usd,inversion_ext_pais.xls
1999,Colombia *,0.8,millones_usd,inversion_ext_pais.xls
2001,Colombia *,1.0,millones_usd,inversion_ext_pais.xls
2002,Colombia *,22.6,millones_usd,inversion_ext_pais.xls
2003,Colombia *,17.7,millones_usd,inversion_ext_pais.xls
2004,Colombia *,34.8,millones_usd,inversion_ext_pais.xls
2005,Colombia *,10.7,millones_usd,inversion_ext_pais.xls
2006,Colombia *,3.3,millones_usd,inversion_ext_pais.xls
2007,Colombia *,3.6,millones_usd,inversion_ext_pais.xls
2008,Colombia *,-0.3,millones_usd,inversion_ext_pais.xls
2009,Colombia *,3.7,millones_usd,inversion_ext_pais.xls
2010,Colombia *,4.9,millones_usd,inversion_ext_pais.xls
2011,Colombia *,46.3,millones_usd,inversion_ext_pais.xls
2012,Colombia *,0.3,millones_usd,inversion_ext_pais.xls
2013,Colombia *,36.56299475837263,millones_usd,inversion_ext_pais.xls
1993,Brasil*,0.0,millones_usd,inversion_ext_pais.xls
1994,Brasil*,0.0,millones_usd,inversion_ext_pais.xls
2001,Brasil*,0.02,millones_usd,inversion_ext_pais.xls
2002,Brasil*,0.031,millones_usd,inversion_ext_pais.xls
2003,Brasil*,1.6,millones_usd,inversion_ext_pais.xls
2004,Brasil*,39.6,millones_usd,inversion_ext_pais.xls
2005,Brasil*,12.4,millones_usd,inversion_ext_pais.xls
2006,Brasil*,0.0,millones_usd,inversion_ext_pais.xls
2007,Brasil*,59.9,millones_usd,inversion_ext_pais.xls
2008,Brasil*,53.5,millones_usd,inversion_ext_pais.xls
2009,Brasil*,85.2,millones_usd,inversion_ext_pais.xls
2010,Brasil*,15.5,millones_usd,inversion_ext_pais.xls
2011,Brasil*,2.1,millones_usd,inversion_ext_pais.xls
2012,Brasil*,1029.0,millones_usd,inversion_ext_pais.xls
2013,Brasil*,30.615240198636055,millones_usd,inversion_ext_pais.xls
2001,El Salvador*,0.0,millones_usd,inversion_ext_pais.xls
2002,El Salvador*,0.0,millones_usd,inversion_ext_pais.xls
2003,El Salvador*,0.0,millones_usd,inversion_ext_pais.xls
2004,El Salvador*,0.0,millones_usd,inversion_ext_pais.xls
2005,El Salvador*,2.3,millones_usd,inversion_ext_pais.xls
2006,El Salvador*,0.0,millones_usd,inversion_ext_pais.xls
2007,El Salvador*,1.7,millones_usd,inversion_ext_pais.xls
2008,El Salvador*,0.0,millones_usd,inversion_ext_pais.xls
2009,El Salvador*,0.0,millones_usd,inversion_ext_pais.xls
2010,El Salvador*,0.0,millones_usd,inversion_ext_pais.xls
2011,El Salvador*,0.0,millones_usd,inversion_ext_pais.xls
2012,El Salvador*,146.3,millones_usd,inversion_ext_pais.xls
