anio,concepto,valor,unidad,hoja_origen,fuente_archivo
2004,B. DEUDA INTERNA NETA (1+2+3+4) 6/,4498.4,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2005,B. DEUDA INTERNA NETA (1+2+3+4) 6/,4846.7,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2006,B. DEUDA INTERNA NETA (1+2+3+4) 6/,5771.6900000000005,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2007,B. DEUDA INTERNA NETA (1+2+3+4) 6/,6143.700000000001,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2008,B. DEUDA INTERNA NETA (1+2+3+4) 6/,7268.799999999999,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2009,B. DEUDA INTERNA NETA (1+2+3+4) 6/,8195.3,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2010,B. DEUDA INTERNA NETA (1+2+3+4) 6/,8647.9,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2011,B. DEUDA INTERNA NETA (1+2+3+4) 6/,9219.7,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2012,B. DEUDA INTERNA NETA (1+2+3+4) 6/,11177.4,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2013,B. DEUDA INTERNA NETA (1+2+3+4) 6/,12135.099999999999,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2014,B. DEUDA INTERNA NETA (1+2+3+4) 6/,12049.0,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2015,B. DEUDA INTERNA NETA (1+2+3+4) 6/,13715.099999999999,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2016,B. DEUDA INTERNA NETA (1+2+3+4) 6/,15933.0,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2017,B. DEUDA INTERNA NETA (1+2+3+4) 6/,18090.6,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
