anio,concepto,valor,unidad,hoja_origen,fuente_archivo
2024,A. DEUDA EXTERNA (1+2+3) 3/,0.3355874958502293,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2025,A. DEUDA EXTERNA (1+2+3) 3/,0.36446305491156766,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2000,1. Gobierno Central 4/,0.10799352168292883,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2001,1. Gobierno Central 4/,0.12595638206257767,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2002,1. Gobierno Central 4/,0.13703057419357326,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2003,1. Gobierno Central 4/,0.22575854157593164,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2004,1. Gobierno Central 4/,0.23488986913563983,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2005,1. Gobierno Central 4/,0.15179159823047603,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2006,1. Gobierno Central 4/,0.16388457796225298,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2007,1. Gobierno Central 4/,0.14761280545169506,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2008,1. Gobierno Central 4/,0.14964581903255214,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2009,1. Gobierno Central 4/,0.17002739950344195,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2010,1. Gobierno Central 4/,0.1846588772888866,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2011,1. Gobierno Central 4/,0.20034605666863087,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2012,1. Gobierno Central 4/,0.21221862314683185,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2013,1. Gobierno Central 4/,0.2420373025747236,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2014,1. Gobierno Central 4/,0.2448852479267693,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2015,1. Gobierno Central 4/,0.228575090254268,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2016,1. Gobierno Central 4/,0.23224933966199238,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2017,1. Gobierno Central 4/,0.2378581425506415,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2018,1. Gobierno Central 4/,0.253707258177671,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
